------------------------------------------------------------------------------------------------------------------------------------------------------------
| ev_event |  et       | sc_eta    |  dEtaInSeed| dPhiIn    | dxy       |Sieie     | E1x5/E5x5 | E2x5/E5x5 | EM+HD1    | Trk_Iso   |H/E        |missing hit|
------------------------------------------------------------------------------------------------------------------------------------------------------------
|142745436 | 1726.4730 | -1.047842 |  0.0003190 | 0.0028057 | 0.0002160 |0.0094744 | 0.8600969 | 0.9822376 | 28.616058 | 5.4960937 | 0.0336468 |         0 |
|237480011 | 1722.4401 | 1.1241413 |  0.0026689 | 0.0300641 | 0.0006787 |7.100e-05 | 0.9924098 | 0.9968100 | 10.526601 |     9.125 | 0.0206157 |         0 |
|214952084 | 2996.9304 | -0.254739 |  0.0079694 | 0.0121878 | 0.0007756 |0.0080557 | 0.9381988 | 0.9893613 | 155.26091 | 87.282226 | 0.0936221 |         1 |
|342756513 | 2408.3576 | 0.5854552 |  0.0072580 | 0.0046895 | 0.0076673 |0.0101225 | 0.9297978 | 0.9773280 | 39.264473 | 66.412109 | 0.0682814 |         0 |
|476517713 | 45372.152 | -1.726853 |  0.0130888 | 0.2977926 | 0.1082070 |0.0571772 | 0.2809956 | 0.5322446 | 457.63104 |         0 |         0 |         0 |
|476517713 | 27266.443 | -1.781781 |  0.0036214 | 0.0840222 | 0.0174458 |0.0549127 | 0.3195185 | 0.5475474 | 10473.436 |         0 |         0 |         0 |
|907922987 | 16508.513 | -1.750093 |  0.0179862 | 0.0395328 | 0.0029155 |0.0560392 | 0.3283999 | 0.5611470 | 5610.5556 |         0 |         0 |         0 |
|907922987 | 9962.2812 | -1.780005 |  0.0069295 | 0.0130174 | 0.0400336 |0.0589219 | 0.3169226 | 0.7308636 | 11551.715 |         0 |         0 |         0 |
|778684532 | 90126.671 | -1.745170 |  0.0491868 | 0.1378426 | 0.0475223 |0.0585474 | 0.3949198 | 0.5842010 | 1471.2481 |         0 | 2.229e-05 |         0 |
|1.046e+09 | 50508.496 | -1.721269 |  0.2123868 | 0.1927967 | 0.2476202 |0.0510785 | 0.3650294 | 0.5620293 | 3172.2993 |         0 | 6.096e-06 |         2 |
|1.046e+09 | 19666.849 | -1.769021 |  0.0460889 | 0.4531708 | 0.1930519 |0.0563567 | 0.3396450 | 0.5369837 | 11836.034 |         0 | 1.760e-05 |         0 |
|220642770 | 6033.6210 | -1.739997 |  0.0187452 | 0.0345854 | 0.0123761 |0.0361311 | 0.7013185 |         1 | 52.997112 |         0 | 6.442e-05 |         0 |
|220642770 | 5578.0659 | -1.712308 |  0.0723963 | 0.0978465 | 0.0562663 |0.0361311 | 0.2986814 |         1 | 39.148490 |         0 | 6.901e-05 |         0 |
| 46358463 | 54091.777 | -1.719550 |  0.0180639 | 0.0238485 | 0.0719477 |0.0442627 | 0.3999336 | 0.5814362 | 2878.9936 |         0 | 6.569e-06 |         1 |
| 46358463 | 27489.255 | -1.783347 |  0.0378468 | 0.2849102 | 0.0038771 |0.0547508 | 0.3587934 | 0.5522280 | 13431.151 |         0 | 5.328e-05 |         0 |

